customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin
556052,2,A,201601,3,3,2,20160126.0,20160118.0,756.7,173.72
556052,2,A,201602,8,5,4,20160225.0,20160202.0,542.43,149.09
556052,2,A,201603,2,1,1,20160331.0,20160331.0,912.82,300.46
556052,2,A,201604,7,4,4,20160414.0,20160405.0,625.83,161.77
556052,2,A,201605,14,9,6,20160525.0,20160503.0,1516.35,511.69
556052,2,A,201606,9,6,5,20160630.0,20160601.0,1579.43,344.26
556052,2,A,201607,8,6,4,20160728.0,20160706.0,2973.53,754.77
556052,2,A,201608,5,3,5,20160831.0,20160803.0,1025.49,300.05
556052,2,A,201609,4,4,4,20160929.0,20160902.0,826.93,255.44
556052,2,A,201610,5,4,3,20161005.0,20161003.0,1234.67,335.75
556052,2,A,201701,3,2,2,20170109.0,20170104.0,696.18,238.32
556052,2,A,201702,1,1,1,20170214.0,20170214.0,521.5,93.0
556052,2,A,201703,6,4,4,20170328.0,20170301.0,1480.55,519.51
556052,2,A,201704,2,1,1,20170424.0,20170424.0,405.76,132.63
556052,2,A,201705,8,6,3,20170518.0,20170510.0,1001.71,343.84
556052,2,A,201706,4,3,4,20170628.0,20170612.0,1365.37,255.34
556052,2,A,201707,9,6,6,20170731.0,20170710.0,3163.44,810.89
556052,2,A,201708,12,8,7,20170830.0,20170804.0,1743.69,500.5
556052,2,A,201709,6,4,6,20170925.0,20170901.0,1231.94,348.5
556052,2,A,201710,8,5,2,20171026.0,20171011.0,302.71,105.06
556052,2,A,201711,2,1,2,20171109.0,20171106.0,380.22,139.6
556052,2,A,201712,3,3,3,20171227.0,20171206.0,10730.33,4110.19
556052,2,A,201801,3,2,2,20180131.0,20180130.0,361.47,120.37
556052,2,A,201802,5,4,3,20180227.0,20180206.0,282.37,94.07
556052,2,A,201803,3,2,2,20180309.0,20180302.0,410.33,-1660.53
556052,2,A,201804,9,7,3,20180418.0,20180402.0,1779.47,431.29
556052,2,A,201805,11,6,7,20180524.0,20180502.0,1579.51,486.7
556052,2,A,201806,2,2,2,20180629.0,20180605.0,324.85,102.14
556052,2,A,201807,6,5,5,20180724.0,20180702.0,1366.79,358.77
556052,2,A,201808,6,4,3,20180813.0,20180802.0,893.26,291.46
556052,2,A,201809,4,2,1,20180904.0,20180904.0,1062.9,405.91
556052,2,A,201811,1,1,1,20181112.0,20181112.0,307.25,98.25
556052,2,A,201812,1,1,1,20181203.0,20181203.0,145.25,44.25
556052,2,A,201902,2,2,1,20190208.0,20190208.0,510.57,232.78
556052,2,A,201903,4,3,4,20190315.0,20190308.0,1114.23,295.2
556052,2,A,201904,3,3,3,20190425.0,20190415.0,548.78,210.97
556052,2,A,201905,4,2,3,20190520.0,20190515.0,1096.93,329.01
556052,2,A,201906,2,2,1,20190611.0,20190611.0,336.5,131.75
556052,2,A,201907,5,2,2,20190729.0,20190712.0,718.45,271.7
556052,2,A,201908,4,3,3,20190826.0,20190820.0,1104.59,452.12
556052,2,A,201909,1,1,1,20190927.0,20190927.0,167.28,81.52
556052,2,A,201910,5,4,4,20191030.0,20191003.0,995.88,315.45
