customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
253774,9,B,201601,2,1,1,20160108.0,20160108.0,487.4,21.24,2016-01-01,,1
253774,9,B,201602,1,1,1,20160226.0,20160226.0,420.0,28.6,2016-02-01,31 days,1
253774,9,B,201603,3,1,1,20160317.0,20160317.0,426.78,68.1,2016-03-01,29 days,1
253774,9,B,201607,5,1,2,20160715.0,20160712.0,1431.06,143.11,2016-07-01,122 days,1
253774,9,B,201608,2,1,1,20160829.0,20160829.0,568.44,138.02,2016-08-01,31 days,1
253774,9,B,201612,1,1,2,20161231.0,20161228.0,1223.95,9.28,2016-12-01,122 days,1
253774,9,B,201701,1,1,1,20170127.0,20170127.0,899.92,180.0,2017-01-01,31 days,1
253774,9,B,201702,3,3,3,20170228.0,20170207.0,1818.4,456.43,2017-02-01,31 days,1
253774,9,B,201703,6,1,4,20170328.0,20170313.0,1722.3,467.37,2017-03-01,28 days,1
253774,9,B,201704,6,5,2,20170426.0,20170410.0,1363.02,180.35,2017-04-01,31 days,1
253774,9,B,201705,7,7,2,20170517.0,20170503.0,10315.51,3606.04,2017-05-01,30 days,1
253774,9,B,201706,0,0,0,,,0.0,0.0,2017-06-01,31 days,1
253774,9,B,201707,0,0,0,,,-25.0,-25.0,2017-07-01,30 days,1
253774,9,B,201708,7,4,3,20170828.0,20170802.0,8737.28,2474.45,2017-08-01,31 days,1
253774,9,B,201712,6,1,1,20171213.0,20171213.0,1618.8,453.22,2017-12-01,122 days,1
253774,9,B,201803,1,1,1,20180319.0,20180319.0,778.76,251.03,2018-03-01,90 days,1
253774,9,B,201806,2,1,1,20180604.0,20180604.0,231.6,53.17,2018-06-01,92 days,1
253774,9,B,201808,2,1,1,20180827.0,20180827.0,519.36,168.24,2018-08-01,61 days,1
253774,9,B,201901,2,2,1,20190128.0,20190128.0,900.24,340.44,2019-01-01,153 days,1
253774,9,B,201906,1,1,1,20190614.0,20190614.0,169.6,30.31,2019-06-01,151 days,1
253774,9,B,201910,1,1,1,20191014.0,20191014.0,462.0,38.32,2019-10-01,122 days,1
