customer_number,Division,Customer_Type,YearMonth,Monthly_SKUs_Purchased,Monthly_Vendors_Purchased,Monthly_Number _of_Sales,Monthly_Last_Sales_Date,Monthly_First_Sales_Date,Monthly_Sum_Sales,Monthly_Gross_Margin,new_yearMonth,difference,churn
958933,7,A,201601,10,7,3,20160129.0,20160115.0,547.24,-118.86,2016-01-01,,0
958933,7,A,201602,12,5,4,20160216.0,20160201.0,18120.14,3796.11,2016-02-01,31 days,0
958933,7,A,201603,5,4,3,20160324.0,20160315.0,4940.18,1661.94,2016-03-01,29 days,0
958933,7,A,201604,5,3,2,20160429.0,20160401.0,10547.54,2701.22,2016-04-01,31 days,0
958933,7,A,201605,2,1,1,20160518.0,20160518.0,2669.16,469.76,2016-05-01,30 days,0
958933,7,A,201606,7,5,2,20160621.0,20160607.0,9054.36,2875.17,2016-06-01,31 days,0
958933,7,A,201607,8,2,3,20160718.0,20160712.0,12965.01,3108.13,2016-07-01,30 days,0
958933,7,A,201608,23,10,8,20160816.0,20160801.0,49043.7,14514.84,2016-08-01,31 days,0
958933,7,A,201609,8,4,1,20160901.0,20160901.0,381.07,161.71,2016-09-01,31 days,0
958933,7,A,201610,11,7,3,20161028.0,20161010.0,5594.64,1690.59,2016-10-01,30 days,0
958933,7,A,201611,7,4,6,20161122.0,20161102.0,4728.79,1447.15,2016-11-01,31 days,0
958933,7,A,201612,4,4,3,20161214.0,20161201.0,4393.85,1204.7,2016-12-01,30 days,0
958933,7,A,201701,1,1,1,20170103.0,20170103.0,86.38,19.2,2017-01-01,31 days,0
958933,7,A,201702,9,4,3,20170227.0,20170217.0,6198.0,1821.35,2017-02-01,31 days,0
958933,7,A,201703,0,0,0,,,0.0,0.0,2017-03-01,28 days,0
958933,7,A,201704,0,0,0,,,0.0,0.0,2017-04-01,31 days,0
958933,7,A,201705,0,0,0,,,0.0,0.0,2017-05-01,30 days,0
958933,7,A,201706,29,15,3,20170608.0,20170601.0,12713.56,3854.73,2017-06-01,31 days,0
958933,7,A,201707,3,1,2,20170731.0,20170711.0,4851.05,1261.44,2017-07-01,30 days,0
958933,7,A,201708,2,2,3,20170830.0,20170814.0,3987.43,1362.77,2017-08-01,31 days,0
958933,7,A,201709,2,1,1,20170925.0,20170925.0,2225.26,484.16,2017-09-01,31 days,0
958933,7,A,201710,1,1,1,20171006.0,20171006.0,27.3,267.98,2017-10-01,30 days,0
958933,7,A,201711,11,4,4,20171127.0,20171120.0,6733.09,2492.24,2017-11-01,31 days,0
958933,7,A,201712,0,0,0,,,0.0,0.0,2017-12-01,30 days,0
958933,7,A,201801,1,1,1,20180105.0,20180105.0,130.4,86.6,2018-01-01,31 days,0
958933,7,A,201802,1,1,1,20180209.0,20180209.0,372.36,76.14,2018-02-01,31 days,0
958933,7,A,201803,2,2,1,20180316.0,20180316.0,283.67,-6.96,2018-03-01,28 days,0
958933,7,A,201804,1,1,1,20180426.0,20180426.0,439.34,119.47,2018-04-01,31 days,0
958933,7,A,201805,0,0,0,,,0.0,0.0,2018-05-01,30 days,0
958933,7,A,201806,3,2,1,20180621.0,20180621.0,857.3,215.38,2018-06-01,31 days,0
958933,7,A,201808,11,4,2,20180831.0,20180827.0,5409.91,2037.15,2018-08-01,61 days,0
958933,7,A,201809,15,4,5,20180919.0,20180904.0,9373.93,3139.16,2018-09-01,31 days,0
958933,7,A,201810,0,0,0,,,0.0,0.0,2018-10-01,30 days,0
958933,7,A,201811,0,0,0,,,465.71,142.47,2018-11-01,31 days,0
958933,7,A,201812,0,0,0,,,102.66,27.75,2018-12-01,30 days,0
958933,7,A,201907,7,2,1,20190710.0,20190710.0,64.69,17.21,2019-07-01,212 days,0
958933,7,A,201908,0,0,0,,,282.48,77.76,2019-08-01,31 days,0
958933,7,A,201909,1,1,1,20190911.0,20190911.0,3297.86,1106.48,2019-09-01,31 days,0
958933,7,A,201910,9,5,4,20191021.0,20191007.0,13028.7,4035.19,2019-10-01,30 days,0
958933,7,A,201912,0,0,0,,,168.54,42.14,2019-12-01,61 days,0
